"","pathway","genes"
"GOBP_REGULATION_OF_CELLULAR_SENESCENCE","GOBP_REGULATION_OF_CELLULAR_SENESCENCE","ABI3,ABL1,AKT3,ARG2,B2M,BCL6,BMAL1,BMPR1A,CDK6,CGAS,EEF1E1,FBXO5,FZR1,GCH1,HLA-G,HMGA2,ING2,KIR2DL4,MAP3K3,MIF,MIR10A,MIR146A,MIR17,MIR188,MIR20B,MIR217,MIR22,MIR34A,MIR543,MIR590,MORC3,NEK4,NEK6,NUAK1,PAWR,PLK2,PNPT1,PTEN,RBL1,RSL1D1,SIRT1,SIRT6,TBX2,TERC,TERF2,TERT,TP53,TWIST1,VASH1,WNT1,YBX1,YPEL3,ZKSCAN3,ZMPSTE24,ZNF277"
"GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN","GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN","ACER2,ADA,ADAM9,CCL21,CCL5,CD3E,CIB1,CRK,CRKL,CXCL13,CYP1B1,DPP4,EFNA1,EPHA2,EPHA8,FERMT1,FERMT3,FOXC2,HRG,IFT74,ITGB1BP1,ITGB3,JAM3,LIF,LPXN,LYN,MUC1,NCKAP1L,NEXMIF,P2RY12,PDE3B,PIEZO1,PIK3CG,PLAU,PODXL,PTK2,PTPN11,PTPN6,RAC3,RET,SERPINE1,SFRP2,SKAP1,SNAI2,SWAP70,SYK,TESC,TGFB2,WNK1"
"GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN","GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN","ADAM19,AFDN,BMP6,DENND6A,EPCAM,FLOT1,FOXA1,FOXA2,MAD2L2,NEXMIF,NOTCH1,NOTCH4,PLG,PPM1F,PTPRU,RGCC,SERPINF2,TJP1,VEGFA,WNT3A,WNT5A"
"GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN","GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN","ADA,CCL5,CD3E,CXCL13,DPP4,FERMT3,PIEZO1,PODXL,SKAP1,SWAP70,WNK1"
"GOBP_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR","GOBP_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR","CXCL13,FGF1,FGF16,FGF18,FGF2,FGF4,MIR149,MIR15A,MIR16-1,MIR424"
"GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING","GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING","ANK3,CALM1,CALM2,CALM3,CAMK2D,CASQ2,CAV1,GJA5,GJD3,HRC,IRX3,PDE4D,SLC8A1,SRI,TBX5,TRDN"
"GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION","GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION","CALM1,CALM2,CALM3,CAMK2D,CAV1,GJD3,HRC,IRX3,PDE4D,SRI,TBX5,TRDN"
"GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT","ANAPC15,AURKB,BABAM2,BARD1,BIRC5,BRCA1,BRCA2,BRCC3,CCAR2,CCNB1,CDCA8,CDK5RAP2,CRY1,CUL4A,DUSP1,DYNC1LI1,ETAA1,FBXO4,FEM1B,GEN1,INCENP,KNL1,LCMT1,MAD1L1,MAD2L1,MAD2L1BP,MAP3K20,NDC80,PCID2,PPP1R10,PRAP1,PROX1,PRPF4B,RAD51,RFWD3,RNASEH2B,RPA2,TELO2,TPR,TTI1,TTI2,USP44,WDR76,XRCC3,ZWINT"
"GOBP_REGULATION_OF_CELL_FATE_COMMITMENT","GOBP_REGULATION_OF_CELL_FATE_COMMITMENT","AR,BMP4,BMPR1A,BRD2,BRD4,CHD3,CHD4,DKK1,EP300,ESRP1,FGF2,FGFR1,FZD7,GATAD2A,GATAD2B,GDF3,HDAC1,HDAC2,HES1,IL12B,IL12RB1,IL23A,IL23R,LMO4,LOXL3,MBD3,MESP1,MIR1-1,MIR133A1,MIR206,MIR208A,MTA1,MTA2,MTA3,NKX6-2,OPA1,PAX6,RBBP4,RBBP7,SFRP2,SOSTDC1,SOX17,SPDEF,TBX21,WNT3A"
"GOBP_REGULATION_OF_CELL_FATE_SPECIFICATION","GOBP_REGULATION_OF_CELL_FATE_SPECIFICATION","AR,BMPR1A,CHD3,CHD4,DKK1,ESRP1,FGF2,FGFR1,FZD7,GATAD2A,GATAD2B,HDAC1,HDAC2,LMO4,MBD3,MESP1,MTA1,MTA2,MTA3,PAX6,RBBP4,RBBP7,SFRP2,SOX17,WNT3A"
"GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT","GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT","AKAP6,CAV3,COL14A1,CTDP1,EDN1,FOXP1,G6PD,GSK3A,IGF1,MIR199A1,MIR199B,MIR19A,MIR19B1,MIR208A,PARP2,PI16,PPARA,RGS2,RGS4,TOMM70,YY1"
"GOBP_REGULATION_OF_CELL_MATURATION","GOBP_REGULATION_OF_CELL_MATURATION","ADAM7,AURKA,BCL11A,BCL2,BNC1,CLEC7A,EDNRB,KIF14,LRRK2,MAP3K13,NPPC,NPR2,PAEP,RAC3,RET,SHB,SIRT2,TBX6,TCP11,TCP11X1,TCP11X2,TMPRSS12,TRIM58,WEE2"
"GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","ABL1,AKT3,ANXA1,CARD10,CIB1,DLL4,FBXW7,FGF2,FGFBP1,FOXC2,GATA2,HDAC5,HDAC7,HDAC9,HMOX1,ITGB1BP1,JCAD,KDR,KLF4,MAP2K5,MAP3K3,MEOX2,MIR101-1,MIR10A,MIR10B,MIR126,MIR132,MIR146A,MIR149,MIR150,MIR15A,MIR16-1,MIR188,MIR193A,MIR196A1,MIR199A1,MIR19B1,MIR200C,MIR205,MIR206,MIR20A,MIR22,MIR221,MIR2355,MIR23A,MIR26A1,MIR27A,MIR27B,MIR296,MIR29C,MIR31,MIR320A,MIR329-1,MIR361,MIR410,MIR424,MIR483,MIR487B,MIR494,MIR495,MIR497,MIR503,MIR885,MIRLET7A1,MIRLET7F1,MMRN2,NOTCH1,NR2E1,NRP1,PDCD10,PIK3C2A,PLK2,PTGS2,RHOA,RHOJ,SPRED1,SRPX2,STARD13,TBXA2R,TGFBR3,THBS1,VEGFA"
"GOBP_REGULATION_OF_CELL_PROJECTION_SIZE","GOBP_REGULATION_OF_CELL_PROJECTION_SIZE","CDHR2,CDHR5,EZR,KEL,NEFL,PLS1,TWF2,USH1C,VIL1,WNT7A,WNT7B,XK"
"GOBP_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT","GOBP_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT","BMP4,BMP7,CFLAR,EGR1,FLCN,GATA3,IL6R,ITGB3,LIN28A,MIR125A,MYC,PDGFA,PDGFB,PDGFD,SERPINB7,WT1"
"GOBP_REGULATION_OF_CELL_PROLIFERATION_IN_BONE_MARROW","GOBP_REGULATION_OF_CELL_PROLIFERATION_IN_BONE_MARROW","FGFR2,HMGA2,LEF1,MAP3K3,MIR10A,MIR188,MIR27B,PTH,SETD4"
"GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION","GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION","ABL1,ACTG1,ACVRL1,APOD,ARF6,ARHGAP6,CAMSAP3,CLASP1,CLASP2,COL16A1,CORO1C,DAPK3,DLC1,DMTN,DUSP22,DUSP3,EFNA5,EPB41L5,EPHA3,FAM107A,FERMT2,FMN1,GPM6B,GREM1,HRG,IQSEC1,ITGB1BP1,KDR,LAMTOR2,LDB1,LIMCH1,LIMS1,MACF1,MAP4K4,MAPRE2,MMP14,MYOC,NRP1,PEAK1,PHLDB2,PIK3R1,POLDIP2,PPM1F,PTEN,PTK2,PTPRA,PTPRJ,RAC1,RCC2,RHOA,ROCK1,ROCK2,S100A10,SDC4,SFRP1,SLC9A1,SLK,SMAD3,SRC,TEK,THBS1,THY1,TLN1,TSC1,VCL,VEGFA,WDPCP,WNT4"
"GOBP_REGULATION_OF_CENTRIOLE_REPLICATION","GOBP_REGULATION_OF_CENTRIOLE_REPLICATION","ALMS1,BRCA1,C10orf90,CDK5RAP2,CENPJ,CEP120,CEP295,CEP295NL,CEP76,KAT2A,KAT2B,MDM1,NPM1,NUP62,PLK2,PLK4,PPP1R35,RBM14,SASS6,SPICE1,STIL,TRIM37,VPS4B"
"GOBP_REGULATION_OF_CENTROMERE_COMPLEX_ASSEMBLY","GOBP_REGULATION_OF_CENTROMERE_COMPLEX_ASSEMBLY","H3-3A,H3-3B,RB1,RNF4,SENP6,TRAPPC12"
"GOBP_REGULATION_OF_CENTROSOME_CYCLE","GOBP_REGULATION_OF_CENTROSOME_CYCLE","ALMS1,ATF5,AURKA,BRCA1,C10orf90,CCNF,CCNL1,CCNL2,CDK5RAP2,CENATAC,CENPJ,CEP120,CEP131,CEP295,CEP295NL,CEP76,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4B,CHMP4C,CHMP5,CHORDC1,FBXW5,GEN1,KAT2A,KAT2B,MARK4,MCPH1,MDM1,NAT10,NPM1,NUBP1,NUP62,PDCD6IP,PKHD1,PLK2,PLK4,PPP1R35,RAB6C,RBM14,ROCK2,SASS6,SIRT1,SPICE1,STIL,TMEM67,TRIM37,VPS4B,WDR62,XPO1,XRCC3"
"GOBP_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION","GOBP_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION","CEND1,EGF,FGF2,GPR37L1,LHX1,LHX5,SHH,SKOR2,SLC6A4"
"GOBP_REGULATION_OF_CGMP_MEDIATED_SIGNALING","GOBP_REGULATION_OF_CGMP_MEDIATED_SIGNALING","ADORA2B,GUCA1A,GUCA1ANB-GUCA1A,MTNR1B,NHERF4,NPPC,NPR1,PDE10A,PDE11A,PDE2A,RUNDC3A,THBS1"
"GOBP_REGULATION_OF_CHAPERONE_MEDIATED_AUTOPHAGY","GOBP_REGULATION_OF_CHAPERONE_MEDIATED_AUTOPHAGY","ATP13A2,CTSA,EEF1A1,EEF1A2,GFAP,PLK3,SNCA,SNRNP70"
"GOBP_REGULATION_OF_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_REGULATION_OF_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY","CCL5,EDN1,HIF1A,MIR101-1,MIR20A,PADI2,RNF113A,ROBO1,SH2B3,SLIT2,SLIT3,TREM2"
"GOBP_REGULATION_OF_CHLORIDE_TRANSPORT","GOBP_REGULATION_OF_CHLORIDE_TRANSPORT","ABCB1,ATP8B1,CA2,CA7,CFTR,GABRE,PRKG2"
"GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS","ABCA2,ABCG1,ABCG4,APOB,APOE,AQP8,CYP7A1,ERLIN1,ERLIN2,FGF1,LPCAT3,MBTPS1,MBTPS2,MIR182,MIR185,MIR30C1,MIR342,MIR548P,MIR96,MIR98,PRKAA1,SCAP,SEC14L2,SOD1,SREBF1,SREBF2"
"GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","ABCA1,ABCA12,ABCA2,ABCA3,ABCA5,ABCA7,ABCA8,ABCG1,ABCG4,ADIPOQ,APOA1,APOE,CAV1,CES1,CETP,EEPD1,EGF,GPS2,LAMTOR1,LRP1,MIR128-1,MIR130B,MIR144,MIR145,MIR148A,MIR19B1,MIR206,MIR26A1,MIR27A,MIR27B,MIR301B,MIR302A,MIR33A,MIR33B,MIR613,MIR758,MIR9-1,NAXE,NFKBIA,NR1H2,NR1H3,PLA2G10,PLTP,PON1,PPARG,PTCH1,RXRA,SHH,SIRT1,SREBF2,TREM2,TTC39B,YJEFN3,ZDHHC8"
"GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS","GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS","ABCA2,ABCG1,ABCG4,ACADL,ACADVL,APOA1,APOB,APOE,AQP8,ARV1,CES1,CH25H,CYP7A1,DGKQ,EPHX2,ERLIN1,ERLIN2,FGF1,FMO5,GNB3,LDLR,LDLRAP1,LPCAT3,MBTPS1,MBTPS2,MIR182,MIR185,MIR30C1,MIR342,MIR548P,MIR96,MIR98,NR1H4,PRKAA1,SCAP,SEC14L2,SERPINA12,SOD1,SREBF1,SREBF2,STARD4,TTC39B"
"GOBP_REGULATION_OF_CHOLESTEROL_STORAGE","GOBP_REGULATION_OF_CHOLESTEROL_STORAGE","ABCA1,ABCG1,APOB,CD36,CES1,EHD1,LPL,MIR144,MIR146A,MSR1,NR1H2,NR1H3,PPARA,PPARD,PPARG,SCARB1,SREBF2,TREM2,TTC39B"
"GOBP_REGULATION_OF_CHONDROCYTE_DEVELOPMENT","GOBP_REGULATION_OF_CHONDROCYTE_DEVELOPMENT","AXIN2,HOXA11,PTHLH,RFLNA,RFLNB,SMAD7"
"GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION","ACVRL1,ADAMTS12,ADAMTS7,AXIN2,BMP4,BMP6,BMPR1B,CCN2,CCN4,CHADL,CTNNB1,EFEMP1,FGF18,GDF5,GDF6,GLG1,GLI3,GREM1,HOXA11,IHH,LNPK,LOXL2,LTBP3,MAF,MBOAT2,MDK,MUSTN1,NKX3-2,PKDCC,PRKG2,PTH,PTHLH,PTPN11,RARB,RARG,RFLNA,RFLNB,RUNX2,SCIN,SHOX2,SIX2,SMAD3,SMAD7,SNAI2,SOX5,SOX6,SOX9,TGFBR1,TRPS1,WNT9A,ZBTB16,ZNF219"
"GOBP_REGULATION_OF_CHROMATIN_BINDING","GOBP_REGULATION_OF_CHROMATIN_BINDING","BTAF1,CDT1,DDX11,DTX3L,GMNN,HMBOX1,KDM4D,MED25,PARP9,WAPL,ZNF618"
"GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION","GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION","ATF7IP,ATF7IP2,BAZ1A,CDK2,DNMT3L,DYRK1A,HNRNPU,JPX,KDM1A,KMT2A,L3MBTL3,LSM11,MACROH2A1,MBD3L2,MKI67,MLLT3,MORC2,MPHOSPH8,PHF2,PHF8,PPHLN1,RESF1,SAMD1,SETD1A,SETD5,SETDB1,SETDB2,SSRP1,TAL1,TASOR,TLK1,TLK2,TPR,TRIM28,ZNF304"
"GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION","GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION","BAZ1B,H3-3A,H3-3B,MCPH1,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,SMARCA5,SMC2,SMC4"
"GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE","ADORA2B,CCL5,CYP19A1,FOXP3,IDO1,IL10,LTA,TNF,TNFAIP3"
"GOBP_REGULATION_OF_CILIUM_ASSEMBLY","GOBP_REGULATION_OF_CILIUM_ASSEMBLY","ADAMTS16,AKT1,ARF4,ARHGAP35,ASAP1,ATG3,ATG5,ATMIN,BBS4,CCDC88A,CCP110,CDK10,CDKL1,CDKL5,CENPJ,CEP120,CEP135,CEP97,CNTROB,CROCC,CYLD,DCDC2,DYNC2LI1,DYNLT2B,DZIP1,ENTR1,EVI5,EVI5L,FUZ,GDI2,GSK3B,HAP1,HTT,IFT140,IFT20,IFT88,INTU,KCTD17,KIF24,LIMK2,LPAR1,MAK,MAP4,MAPK15,MARCHF7,MARK4,MCIDAS,MNS1,MPHOSPH9,NOTO,ODAD3,ODF2,ODF2L,PPP1R35,RAB11A,RAB11FIP3,RAB3IP,RABEP2,RABGAP1,RP1,SAXO1,SDCCAG8,SEPTIN7,SEPTIN9,SGSM3,SYNE2,TAPT1,TBC1D1,TBC1D10A,TBC1D10B,TBC1D10C,TBC1D13,TBC1D14,TBC1D15,TBC1D16,TBC1D17,TBC1D19,TBC1D2,TBC1D20,TBC1D21,TBC1D22A,TBC1D22B,TBC1D24,TBC1D2B,TBC1D3,TBC1D30,TBC1D5,TBC1D7,TBC1D8,TBC1D9B,TCHP,TESK1,TRIM32,USP6NL,WDPCP,WDR44,WRAP73,YAP1,ZMYND10"
"GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY","GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY","BBS1,BBS2,BBS4,CATSPER1,CCDC39,CCDC40,CFAP20,CFAP206,CFAP43,CFAP45,CYB5D1,DNAAF1,DNAH11,GAS2L2,MKKS,ODAD2,TTLL6"
"GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY_INVOLVED_IN_CILIARY_MOTILITY","GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY_INVOLVED_IN_CILIARY_MOTILITY","BBS1,BBS2,BBS4,CATSPER1,CFAP20,CFAP45,GAS2L2,MKKS,TTLL6"
"GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY","GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY","ADAM7,BBS1,BBS2,BBS4,CATSPER1,CCR6,CFAP20,CFAP206,CFAP45,CFAP69,CLXN,DEFB1,EPPIN,GAS2L2,IQCF1,IRGC,KIF9,MKKS,PGAM4,PRDM14,RGN,RNASE10,SEMG1,SEMG2,TAC4,TACR1,TACR2,TACR3,TEX101,TPPP2,TTLL6"
"GOBP_REGULATION_OF_CILIUM_MOVEMENT","GOBP_REGULATION_OF_CILIUM_MOVEMENT","ADAM7,BBS1,BBS2,BBS4,CATSPER1,CCDC39,CCDC40,CCDC65,CCR6,CFAP20,CFAP206,CFAP298,CFAP43,CFAP45,CFAP69,CLXN,CYB5D1,DEFB1,DNAAF1,DNAH11,DRC1,EPPIN,GAS2L2,IQCF1,IRGC,KIF9,MKKS,ODAD2,PGAM4,PRDM14,RGN,RNASE10,RSPH4A,SEMG1,SEMG2,TAC4,TACR1,TACR2,TACR3,TEX101,TPPP2,TTLL6"
"GOBP_REGULATION_OF_CLATHRIN_DEPENDENT_ENDOCYTOSIS","GOBP_REGULATION_OF_CLATHRIN_DEPENDENT_ENDOCYTOSIS","AAK1,BMP2K,CCDC32,DAB2,DGKD,DNAJC6,HIP1R,NEU3,PIK3CB,PROM2,SH3GL3,SMAP1,SNAP91,TNK2,UBQLN2,UNC119,USH1G,WASL"
"GOBP_REGULATION_OF_COAGULATION","GOBP_REGULATION_OF_COAGULATION","ADAMTS18,ADTRP,ALOX12,ANO6,ANXA2,ANXA5,APOE,APOH,C1QTNF1,CAV1,CD36,CD9,CEACAM1,CPB2,DMTN,EDN1,EMILIN1,EMILIN2,ENPP4,EPHB2,F11,F12,F2,F2R,F2RL1,F3,F7,FAP,FGA,FGB,FGG,FOXA2,GP1BA,HPSE,HRG,HS3ST5,KLKB1,KNG1,KRT1,MIR19B1,NFE2L2,NOS3,PDGFA,PDGFB,PDGFRA,PLAT,PLAU,PLAUR,PLG,PRDX2,PRKCD,PRKG1,PROC,PROCR,PROS1,PSEN1,SERPINB2,SERPINC1,SERPINE1,SERPINE2,SERPINF2,SERPING1,SH2B3,ST3GAL4,TBXA2R,TFPI,THBD,THBS1,TMX1,TSPAN8,UBASH3B,USF1,VKORC1,VTN"
"GOBP_REGULATION_OF_COA_TRANSFERASE_ACTIVITY","GOBP_REGULATION_OF_COA_TRANSFERASE_ACTIVITY","AGT,AGTR1,APOA1,APOA2,APOA4,APOE,CHRNA7,DBI,MIR27A,MIR27B"
"GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION","GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION","AEBP1,CHADL,COL6A1,COLGALT1,EFEMP2,EMILIN1,MIR29B1,RB1,TNXB"
"GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS","GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS","AMELX,BMP4,CBX8,CIITA,CREB3L1,CST3,CYGB,CYP7A1,DDR2,EMILIN1,ENG,F2,F2R,FAP,HDAC2,IHH,IL6,INHBA,ITGA2,ITGB1,LARP6,MFAP4,MIR145,MIR149,MIR218-1,MIR29A,MIR29B1,MIR92A1,MYB,NOTCH1,NPPC,RGCC,RUNX1,SCX,SERPINB7,SERPINF2,SUCO,TGFB1,TGFB3,UCN,VIM,VSIR,WNT4"
"GOBP_REGULATION_OF_COLLATERAL_SPROUTING","GOBP_REGULATION_OF_COLLATERAL_SPROUTING","BDNF,CRABP2,DCC,EFNA5,EPHA7,FGF13,FSTL4,IFRD1,IST1,LPAR3,PTPRS,RGMA,RND2,SEMA4D,SPART,SPP1,ULK1,ULK2,WNT3,WNT3A"
"GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION","GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION","A2M,C1QBP,C3,C4BPA,C4BPB,CD46,CD55,CD59,CD5L,CFH,CR1,CR1L,CR2,IL1B,MIR520B,MIR520E,PHB1,PHB2,SERPING1,SUSD4,SVEP1,TREM2,VSIG4"
"GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY","GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY","CFH,CR1,MIR520B,MIR520E,SUSD4,VSIG4"
"GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY","GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY","C4BPA,C4BPB,CD46,CR1,CR1L,CR2,SUSD4,SVEP1,TREM2"
"GOBP_REGULATION_OF_COMPLEMENT_DEPENDENT_CYTOTOXICITY","GOBP_REGULATION_OF_COMPLEMENT_DEPENDENT_CYTOTOXICITY","CD55,CD59,CD5L,CFH,CR1,CR1L,IL10,IL11,IL13,IL4,TGFB2"
"GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT","GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT","MIR15B,MIR16-1,MIR17,MIR195,MIR199A1,MIR199B,MIR214,MIR34A,MIR34B,MIR34C,PPARG,PPP3CA,ROCK1,ROCK2,RUNX1"
"GOBP_REGULATION_OF_CORTICOSTEROID_HORMONE_SECRETION","GOBP_REGULATION_OF_CORTICOSTEROID_HORMONE_SECRETION","AGT,AGTR1,BMP6,C1QTNF1,CRH,CRHR1,CRY1,CRY2,DAB2,GAL,GALR1,GHRL,POMC,PTPN11,REN,TSPO"
"GOBP_REGULATION_OF_CORTISOL_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_CORTISOL_BIOSYNTHETIC_PROCESS","BMP2,BMP5,DGKQ,DKK3,H6PD,REST,WNT4"
"GOBP_REGULATION_OF_CYCLASE_ACTIVITY","GOBP_REGULATION_OF_CYCLASE_ACTIVITY","ACR,ADCYAP1,ADGRV1,ADORA2B,ADORA3,AKAP5,AVPR2,CACNA1C,CACNA1D,CALCR,CAP1,CAP2,CCR2,CRHR1,DRD1,DRD2,DRD3,DRD5,EDNRA,EDNRB,FSHR,GABBR2,GALR1,GIPR,GLP1R,GNAI2,GNAI3,GRM2,GRM3,GUCA1A,GUCA1ANB-GUCA1A,GUCA1B,LGR4,LGR5,LHCGR,LTB4R2,MAPK14,MAPK3,MAPK8,NF1,NOS1,NOS2,NOS3,ORAI1,P2RY11,PALM,RAF1,RD3,RXFP1,RXFP2,STIM1,TMIGD3,TSHR"
"GOBP_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY","GOBP_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY","CALM1,CALM2,CALM3,EGLN1,GNAT1,SLC39A14"
"GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","ACTB,ADAM17,AKT1,APC,BCCIP,BLM,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNF,CCNG1,CCNG2,CCNH,CCNI,CCNI2,CCNJ,CCNJL,CCNK,CCNO,CCNP,CCNT1,CCNT2,CCNY,CDC25A,CDC25C,CDC37,CDC6,CDK5R1,CDK5R2,CDK5RAP1,CDK5RAP3,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDKN3,DIRAS3,EGFR,GADD45A,GTF2H1,GTPBP4,HERC5,HEXIM1,HEXIM2,HHEX,INCA1,IPO5,IPO7,LATS1,LATS2,MAPRE3,MEN1,MIR103A1,MIR15A,MIR711,MYOCD,NR2F2,PKMYT1,PLK1,PROX1,PSMD10,PSRC1,PTEN,RGCC,SERTAD1,SPDYA,STOX1,TFAP4,TTBK1"
"GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY","CAAP1,FAS,GSN,JAK2,LGALS9,MMP9,PARK7,PIH1D1,PLAUR,PRR7,ST18"
"GOBP_REGULATION_OF_CYTOKINESIS","GOBP_REGULATION_OF_CYTOKINESIS","AHCTF1,ANKRD53,ARF6,ATXN10,AURKA,AURKB,AURKC,BBS4,BCL2L1,BECN1,BIRC5,BIRC6,BRCA2,CALM1,CALM2,CALM3,CCP110,CDC14A,CDC14B,CDC14C,CDC25B,CDC42,CDC6,CDCA8,CENPV,CETN2,CHMP3,CHMP4C,CIT,CSPP1,CUL3,CXCR5,DCDC1,DRD2,DRD3,E2F7,E2F8,ECT2,ENTR1,EXOC7,FSD1,GIPC1,GIT1,IGF1R,INCENP,KIF13A,KIF14,KIF20A,KIF20B,KIF23,KIF3B,KLHL13,KLHL21,KLHL9,MAP10,MAP9,MRGPRX2,MYO19,NUP62,OPN1LW,OPN1MW,OPN1MW2,OR1A2,OR2A4,PDXP,PIK3C3,PIK3R4,PIN1,PKN2,PKP4,PLK1,PLK3,POLDIP2,PRC1,PRKCE,PRPF40A,RAB11A,RAB11FIP3,RAB11FIP4,RACGAP1,RHOA,RXFP3,SETD2,SH3GLB1,SPAST,SSTR5,SVIL,TAS1R2,TAS2R13,TEX14,UVRAG,VPS4A,WNK1,ZFYVE19,ZFYVE26"
"GOBP_REGULATION_OF_CYTOKINETIC_PROCESS","GOBP_REGULATION_OF_CYTOKINETIC_PROCESS","ARF6,ECT2,EXOC7,KIF20B,NUP62,RAB11A,RAB11FIP3"
